sexo,altura,peso
M,187.57,109.72
M,174.71,73.62
M,188.24,96.5
M,182.2,99.81
M,177.5,93.6
M,170.82,69.04
M,174.71,83.43
M,173.61,76.19
M,170.23,79.8
M,161.18,70.94
M,180.84,84.64
M,181.97,96.95
M,164.51,75.81
M,175.98,85.93
M,175.88,84.57
M,171.82,78.1
M,183.94,88.92
M,162.49,78.42
M,176.89,84.36
M,172.56,82.75
M,172.5,78.98
M,176.38,89.69
M,168.02,67.66
M,191.02,103.77
M,172.45,73.49
M,173.09,87.25
M,175.49,83.66
M,184.91,93.82
M,171.25,79.48
M,173.98,70.01
M,174.29,85.05
M,188.05,96.58
M,181.68,88.47
M,175.72,93.07
M,176.73,92.61
M,178.82,87.5
M,175.45,89.58
M,170.67,83.38
M,167.15,74.32
M,163.33,73.99
M,172.65,78.08
M,183.36,88.02
M,165.79,76.48
M,167.87,73.12
M,171.48,74.69
M,178.07,85.69
M,173.36,84.85
M,183.32,94.83
M,175.72,87.1
M,185.09,95.86
M,164.55,75.12
M,178.27,91.21
M,173.97,78.66
M,171.02,82.29
M,170.16,76.99
M,168.91,74.08
M,173.62,86.05
M,179.77,87.15
M,180.89,89.9
M,177.83,95.04
M,181.36,90.16
M,176.66,89.85
M,187.5,88.58
M,170.17,74.82
M,181.4,81.59
M,165.81,70.42
M,173.42,83.7
M,184.82,100.1
M,172.97,83.15
M,175.0,89.11
M,176.0,83.73
M,179.13,94.14
M,176.95,80.38
M,171.69,73.99
M,184.17,98.08
M,180.98,92.83
M,182.4,91.14
M,183.5,100.2
M,168.94,89.11
M,167.71,76.49
M,171.65,82.3
M,173.35,90.11
M,187.52,107.92
M,177.3,78.49
M,167.54,72.89
M,180.54,85.55
M,169.15,94.5
M,175.14,87.74
M,173.34,78.98
M,183.68,89.53
M,182.41,91.45
M,165.7,82.11
M,179.43,82.61
M,164.42,80.54
M,170.44,74.83
M,165.4,75.17
M,182.12,87.59
M,169.76,81.96
M,168.84,78.37
M,176.31,80.5
M,177.93,91.09
M,169.53,76.09
M,168.34,70.03
M,173.55,80.73
M,177.99,83.43
M,174.58,81.29
M,171.59,71.93
M,168.28,75.53
M,175.72,78.01
M,171.73,79.09
M,176.0,85.16
M,173.2,91.39
M,181.88,92.95
M,175.76,81.05
M,170.85,74.4
M,187.16,101.27
M,176.62,92.06
M,173.51,85.91
M,172.06,80.82
M,182.13,101.29
M,161.63,75.76
M,174.55,81.86
M,170.05,74.59
M,159.28,68.03
M,183.54,87.5
M,180.11,91.57
M,171.73,81.59
M,179.84,89.12
M,176.03,85.07
M,168.26,77.88
M,171.43,86.95
M,167.15,75.23
M,181.47,84.22
M,173.9,80.87
M,162.53,68.48
M,180.34,95.22
M,173.07,79.0
M,173.72,81.59
M,172.96,76.09
M,173.08,83.03
M,174.9,76.91
M,168.02,78.67
M,168.16,82.05
M,171.28,83.24
M,176.46,93.43
M,179.11,83.35
M,181.2,91.61
M,180.34,98.03
M,168.15,72.3
M,184.26,95.41
M,171.4,81.02
M,165.99,66.56
M,179.94,88.88
M,177.64,77.19
M,164.44,76.95
M,176.04,89.98
M,174.85,81.61
M,157.32,66.8
M,174.23,80.28
M,165.66,84.13
M,163.41,80.51
M,174.62,77.03
M,184.12,90.08
M,170.77,92.24
M,170.85,87.64
M,165.4,80.8
M,168.31,73.84
M,171.96,72.25
M,166.45,78.07
M,177.47,91.55
M,173.94,77.27
M,183.42,93.16
M,173.18,77.02
M,182.83,90.92
M,167.81,81.01
M,169.31,76.21
M,171.7,80.63
M,173.34,87.67
M,164.61,73.65
M,171.43,83.18
M,173.18,82.13
M,176.67,95.65
M,168.66,75.1
M,169.14,88.97
M,182.72,91.65
M,173.45,77.3
M,177.69,91.6
M,182.5,87.72
M,167.02,81.58
M,170.26,70.98
M,194.84,106.61
M,184.33,104.58
M,177.11,92.49
M,184.91,98.98
M,184.25,101.0
M,183.63,94.56
M,170.82,82.0
M,192.9,105.2
M,168.44,77.38
M,180.74,85.4
M,180.83,88.93
M,183.38,97.34
M,190.86,101.66
M,163.61,71.93
M,164.43,75.52
M,161.07,72.64
M,172.34,79.91
M,167.47,79.15
M,180.26,87.96
M,171.66,84.82
M,174.22,78.74
M,178.62,87.7
M,183.88,94.55
M,179.88,93.46
M,167.39,78.28
M,189.98,105.52
M,171.91,80.4
M,170.58,79.67
M,182.31,96.45
M,164.25,75.74
M,173.03,89.09
M,169.64,75.04
M,169.69,80.09
M,172.43,79.22
M,175.7,88.56
M,178.37,93.3
M,164.73,71.82
M,172.27,76.69
M,161.14,61.53
M,182.5,98.96
M,169.49,70.72
M,182.8,91.41
M,193.09,107.02
M,181.55,88.63
M,171.12,80.12
M,179.21,90.02
M,177.46,84.24
M,172.59,80.44
M,188.23,97.87
M,175.69,84.83
M,169.06,77.83
M,169.42,78.4
M,170.81,76.33
M,175.39,74.31
M,179.51,86.19
M,166.37,71.16
M,165.58,78.29
M,171.62,76.69
M,187.49,104.95
M,181.88,94.01
M,172.02,78.09
M,173.31,90.64
M,167.46,76.25
M,181.73,89.73
M,175.68,89.31
M,174.24,81.75
M,180.49,85.79
M,161.66,71.86
M,180.8,94.77
M,167.97,84.89
M,165.25,71.48
M,172.95,82.39
M,180.32,92.87
M,188.52,104.84
M,176.09,84.49
M,164.93,82.14
M,173.6,90.23
M,180.16,92.25
M,156.15,73.04
M,173.97,86.1
M,183.01,90.81
M,184.21,100.64
M,180.93,97.1
M,183.54,91.49
M,171.62,84.91
M,183.56,89.14
M,159.0,68.82
M,168.24,75.89
M,176.91,90.19
M,175.99,81.1
M,179.64,87.79
M,174.82,89.69
M,167.68,83.67
M,168.69,70.4
M,169.2,73.03
M,172.81,85.77
M,179.08,78.47
M,175.66,88.86
M,179.82,97.86
M,165.59,75.62
M,189.96,108.62
M,180.51,83.59
M,176.11,90.71
M,177.54,86.82
M,163.64,76.71
M,172.34,88.34
M,171.57,83.13
M,189.91,95.42
M,181.4,89.83
M,170.49,78.32
M,177.44,89.39
M,173.81,86.41
M,172.55,83.71
M,173.98,81.62
M,165.72,72.35
M,178.27,89.76
M,180.6,98.55
M,173.86,85.23
M,166.17,80.22
M,171.96,83.98
M,188.53,101.29
M,180.76,93.87
M,170.77,77.57
M,172.42,79.48
M,171.14,78.61
M,174.65,82.16
M,182.13,91.9
